name,Never,Occasionally,Frequently,Don't know what a computer is,No answer,Don't know
Chile,30,4,23,2,44,8,1,4,0,2,0
China,42,24,2,23,7,2,2,8,0
Palestine,31,5,29,6,32,6,8,0,1,0
Hong Kong,18,3,29,1,51,4,1,0,2,0
Japan,34,8,24,4,40,2,0,0,6,0
South Korea,19,7,25,5,51,6,1,3,1,9,0
Sweden,7,5,9,9,82,1,0,0,2,0,3
